Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Красные карточки,К2 Красные карточки,К1 Вбрасывания,К2 Вбрасывания,К1 Завершено передач,К2 Завершено передач
05.07.2020 18:15,Ньюкасл Юнайтед,Вест Хэм,2,2,57.0,43.0,11.0,17.0,4.0,7.0,5.0,6.0,2.0,4.0,12.0,11.0,6.0,4.0,1.0,1.0,5.0,2.0,9.0,11.0,1.0,0.0,516.0,379.0,22.0,18.0,99.0,118.0,41.0,62.0,,,,,,
05.07.2020 16:00,Бёрнли,Шеффилд Юнайтед,1,1,47.0,53.0,9.0,10.0,4.0,3.0,5.0,3.0,0.0,4.0,15.0,10.0,3.0,9.0,2.0,1.0,2.0,3.0,8.0,14.0,,,404.0,441.0,9.0,12.0,98.0,118.0,36.0,67.0,,,,,,
05.07.2020 00:00,Челси,Уотфорд,3,0,70.0,30.0,21.0,7.0,9.0,3.0,4.0,4.0,8.0,0.0,13.0,10.0,5.0,3.0,1.0,2.0,3.0,6.0,9.0,12.0,0.0,2.0,731.0,300.0,13.0,24.0,145.0,92.0,71.0,23.0,,,,,,
04.07.2020 21:30,Вулверхэмптон,Арсенал,0,2,52.0,48.0,10.0,8.0,1.0,5.0,5.0,1.0,4.0,2.0,11.0,7.0,3.0,5.0,1.0,0.0,3.0,1.0,6.0,11.0,2.0,4.0,516.0,482.0,13.0,29.0,105.0,124.0,44.0,31.0,,,,,,
04.07.2020 19:00,Лестер,Кристал Пэлас,3,0,52.0,48.0,15.0,7.0,4.0,1.0,6.0,5.0,5.0,1.0,9.0,19.0,3.0,7.0,1.0,1.0,1.0,1.0,18.0,8.0,2.0,1.0,506.0,450.0,29.0,18.0,112.0,123.0,31.0,36.0,,,,,,
04.07.2020 19:00,Манчестер Юнайтед,Борнмут,5,2,70.0,30.0,19.0,7.0,10.0,3.0,4.0,2.0,5.0,2.0,16.0,6.0,8.0,3.0,4.0,4.0,1.0,5.0,3.0,12.0,0.0,1.0,648.0,283.0,16.0,10.0,129.0,67.0,75.0,28.0,,,,,,
04.07.2020 16:30,Норвич,Брайтон,0,1,58.0,42.0,12.0,8.0,1.0,2.0,4.0,3.0,7.0,3.0,13.0,15.0,0.0,2.0,4.0,0.0,1.0,1.0,11.0,13.0,2.0,2.0,587.0,418.0,14.0,11.0,120.0,103.0,57.0,47.0,,,,,,
03.07.2020 00:15,Манчестер Сити,Ливерпуль,4,0,48.0,52.0,14.0,11.0,6.0,3.0,6.0,2.0,2.0,6.0,8.0,11.0,3.0,3.0,3.0,2.0,3.0,2.0,8.0,7.0,2.0,2.0,484.0,520.0,10.0,13.0,86.0,94.0,40.0,55.0,,,,,,
02.07.2020 22:00,Шеффилд Юнайтед,Тоттенхэм,3,1,33.0,67.0,7.0,9.0,5.0,2.0,2.0,5.0,0.0,2.0,14.0,16.0,1.0,6.0,2.0,1.0,1.0,2.0,13.0,13.0,2.0,0.0,311.0,620.0,21.0,14.0,82.0,135.0,56.0,61.0,,,,,,
02.07.2020 00:15,Вест Хэм,Челси,3,2,29.0,71.0,11.0,17.0,4.0,6.0,2.0,9.0,5.0,2.0,11.0,11.0,2.0,3.0,2.0,2.0,4.0,1.0,9.0,9.0,2.0,1.0,273.0,642.0,16.0,19.0,86.0,148.0,38.0,79.0,,,,,,
01.07.2020 22:00,Арсенал,Норвич,4,0,52.0,48.0,13.0,8.0,8.0,2.0,4.0,3.0,1.0,3.0,12.0,10.0,6.0,2.0,0.0,2.0,2.0,4.0,10.0,10.0,1.0,4.0,460.0,435.0,12.0,19.0,103.0,98.0,52.0,23.0,,,,,,
01.07.2020 22:00,Борнмут,Ньюкасл Юнайтед,1,4,55.0,45.0,12.0,12.0,1.0,7.0,6.0,4.0,5.0,1.0,13.0,11.0,6.0,3.0,2.0,1.0,3.0,0.0,11.0,10.0,2.0,0.0,486.0,418.0,16.0,16.0,95.0,105.0,50.0,28.0,,,,,,
01.07.2020 22:00,Эвертон,Лестер,2,1,35.0,65.0,7.0,15.0,2.0,3.0,2.0,6.0,3.0,6.0,10.0,13.0,3.0,5.0,0.0,1.0,2.0,0.0,13.0,10.0,1.0,1.0,318.0,583.0,18.0,14.0,102.0,153.0,32.0,84.0,,,,,,
01.07.2020 00:15,Брайтон,Манчестер Юнайтед,0,3,37.0,63.0,8.0,12.0,2.0,6.0,5.0,4.0,1.0,2.0,11.0,12.0,4.0,5.0,2.0,2.0,3.0,2.0,10.0,9.0,0.0,1.0,359.0,616.0,14.0,16.0,95.0,110.0,31.0,48.0,,,,,,
30.06.2020 00:00,Кристал Пэлас,Бёрнли,0,1,58.0,42.0,17.0,8.0,4.0,4.0,6.0,3.0,7.0,1.0,13.0,12.0,9.0,1.0,0.0,0.0,3.0,4.0,12.0,13.0,1.0,1.0,481.0,356.0,13.0,15.0,115.0,96.0,55.0,31.0,,,,,,
28.06.2020 20:30,Уотфорд,Саутгемптон,1,3,48.0,52.0,8.0,11.0,0.0,7.0,2.0,3.0,6.0,1.0,10.0,17.0,5.0,3.0,1.0,1.0,4.0,0.0,18.0,9.0,3.0,0.0,396.0,460.0,13.0,20.0,124.0,131.0,48.0,46.0,,,,,,
03.07.2020 00:15,Манчестер Сити,Ливерпуль,4,0,48.0,52.0,14.0,11.0,6.0,3.0,6.0,2.0,2.0,6.0,8.0,11.0,3.0,3.0,3.0,2.0,3.0,2.0,8.0,7.0,2.0,2.0,484.0,520.0,10.0,13.0,86.0,94.0,40.0,55.0,,,,,,
27.06.2020 16:30,Астон Вилла,Вулверхэмптон,0,1,48.0,52.0,11.0,9.0,1.0,2.0,8.0,6.0,2.0,1.0,18.0,17.0,2.0,2.0,0.0,2.0,1.0,1.0,16.0,16.0,1.0,1.0,423.0,464.0,8.0,10.0,110.0,106.0,39.0,53.0,,,,,,
26.06.2020 00:15,Челси,Манчестер Сити,2,1,35.0,65.0,15.0,11.0,10.0,2.0,3.0,6.0,2.0,3.0,4.0,16.0,5.0,7.0,3.0,1.0,1.0,8.0,13.0,3.0,1.0,1.0,382.0,713.0,13.0,7.0,58.0,162.0,31.0,64.0,0.0,1.0,,,,
25.06.2020 22:00,Бёрнли,Уотфорд,1,0,54.0,46.0,9.0,10.0,5.0,4.0,4.0,6.0,0.0,0.0,16.0,15.0,1.0,7.0,3.0,0.0,4.0,4.0,13.0,15.0,1.0,0.0,424.0,329.0,11.0,16.0,108.0,109.0,40.0,49.0,,,,,,
25.06.2020 22:00,Саутгемптон,Арсенал,0,2,53.0,47.0,12.0,10.0,3.0,5.0,7.0,3.0,2.0,2.0,16.0,13.0,4.0,6.0,2.0,1.0,3.0,3.0,10.0,14.0,0.0,2.0,435.0,398.0,17.0,10.0,112.0,97.0,54.0,30.0,1.0,0.0,,,,
