Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Вбрасывания,К2 Вбрасывания,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Всего передач,К2 Всего передач,К1 Завершено передач,К2 Завершено передач,К1 Oтборы,К2 Oтборы,К1 Атаки,К2 Атаки,К1 Опасные атаки,К2 Опасные атаки,К1 Красные карточки,К2 Красные карточки
23.04.2022 19:00,Лестер,Астон Вилла,0,0,64.0,36.0,5.0,11.0,2.0,3.0,3.0,4.0,0.0,4.0,14.0,15.0,7.0,6.0,0.0,1.0,28.0,23.0,3.0,2.0,15.0,16.0,3.0,2.0,520.0,289.0,441.0,196.0,13.0,15.0,121.0,73.0,42.0,38.0,,
23.04.2022 19:00,Манчестер Сити,Уотфорд,5,1,74.0,26.0,21.0,5.0,8.0,2.0,7.0,2.0,6.0,1.0,8.0,8.0,11.0,4.0,0.0,2.0,13.0,12.0,1.0,3.0,9.0,7.0,1.0,0.0,701.0,247.0,615.0,178.0,25.0,11.0,125.0,58.0,63.0,20.0,,
23.04.2022 19:00,Норвич,Ньюкасл Юнайтед,0,3,45.0,55.0,5.0,13.0,2.0,7.0,3.0,6.0,0.0,0.0,9.0,12.0,2.0,3.0,1.0,0.0,26.0,27.0,4.0,2.0,11.0,10.0,0.0,2.0,417.0,506.0,313.0,421.0,20.0,15.0,102.0,99.0,49.0,37.0,,
23.04.2022 16:30,Арсенал,Манчестер Юнайтед,3,1,55.0,45.0,14.0,14.0,7.0,5.0,5.0,6.0,2.0,3.0,12.0,11.0,1.0,7.0,2.0,2.0,13.0,20.0,4.0,4.0,9.0,12.0,3.0,4.0,507.0,412.0,430.0,337.0,10.0,13.0,121.0,64.0,39.0,42.0,,
21.04.2022 23:45,Бёрнли,Саутгемптон,2,0,43.0,57.0,16.0,11.0,6.0,3.0,4.0,4.0,6.0,4.0,8.0,8.0,10.0,10.0,3.0,2.0,24.0,20.0,3.0,4.0,7.0,7.0,2.0,2.0,354.0,479.0,244.0,385.0,15.0,15.0,89.0,103.0,50.0,50.0,,
21.04.2022 00:00,Манчестер Сити,Брайтон,3,0,65.0,35.0,17.0,2.0,5.0,1.0,4.0,1.0,8.0,0.0,8.0,11.0,7.0,4.0,1.0,2.0,16.0,15.0,1.0,2.0,12.0,7.0,0.0,3.0,667.0,353.0,586.0,260.0,16.0,20.0,125.0,81.0,73.0,36.0,,
20.04.2022 23:45,Ньюкасл Юнайтед,Кристал Пэлас,1,0,36.0,64.0,13.0,10.0,4.0,2.0,3.0,6.0,6.0,2.0,14.0,13.0,2.0,5.0,2.0,3.0,26.0,20.0,2.0,3.0,12.0,12.0,1.0,1.0,347.0,589.0,261.0,490.0,18.0,20.0,96.0,115.0,28.0,47.0,,
20.04.2022 23:45,Челси,Арсенал,2,4,68.0,32.0,11.0,14.0,2.0,4.0,5.0,7.0,4.0,3.0,10.0,7.0,6.0,1.0,1.0,4.0,21.0,17.0,0.0,0.0,7.0,6.0,3.0,1.0,704.0,332.0,588.0,249.0,23.0,20.0,122.0,95.0,58.0,39.0,,
20.04.2022 23:45,Эвертон,Лестер,1,1,37.0,63.0,13.0,11.0,3.0,3.0,8.0,1.0,2.0,7.0,18.0,7.0,5.0,4.0,0.0,1.0,24.0,23.0,2.0,2.0,8.0,17.0,4.0,2.0,353.0,631.0,254.0,511.0,14.0,11.0,114.0,107.0,47.0,49.0,,
20.04.2022 00:00,Ливерпуль,Манчестер Юнайтед,4,0,72.0,28.0,14.0,2.0,5.0,1.0,6.0,0.0,3.0,1.0,8.0,7.0,9.0,2.0,3.0,2.0,21.0,12.0,1.0,1.0,3.0,6.0,1.0,2.0,897.0,354.0,799.0,258.0,15.0,22.0,167.0,76.0,55.0,16.0,,
