Дата,Команда 1,Команда 2,К1 Счет,К2 Счет
03.09.2022 19:00,Ньюкасл Юнайтед,Кристал Пэлас,0,0
03.09.2022 19:00,Тоттенхэм,Фулхэм,2,1
03.09.2022 19:00,Челси,Вест Хэм,2,1
03.09.2022 16:30,Эвертон,Ливерпуль,0,0
02.09.2022 00:00,Лестер,Манчестер Юнайтед,0,1
01.09.2022 00:00,Ливерпуль,Ньюкасл Юнайтед,2,1
31.08.2022 23:45,Вест Хэм,Тоттенхэм,1,1
31.08.2022 23:30,Арсенал,Астон Вилла,2,1
31.08.2022 23:30,Борнмут,Вулверхэмптон,0,0
31.08.2022 23:30,Манчестер Сити,Ноттингем Форест,6,0
31.08.2022 00:00,Лидс,Эвертон,1,1
30.08.2022 23:45,Саутгемптон,Челси,2,1
30.08.2022 23:30,Кристал Пэлас,Брентфорд,1,1
30.08.2022 23:30,Фулхэм,Брайтон,2,1
28.08.2022 20:30,Ноттингем Форест,Тоттенхэм,0,2
28.08.2022 18:00,Астон Вилла,Вест Хэм,0,1
28.08.2022 18:00,Вулверхэмптон,Ньюкасл Юнайтед,1,1
27.08.2022 21:30,Арсенал,Фулхэм,2,1
27.08.2022 19:00,Брайтон,Лидс,1,0
27.08.2022 19:00,Брентфорд,Эвертон,1,1
27.08.2022 19:00,Ливерпуль,Борнмут,9,0
27.08.2022 19:00,Манчестер Сити,Кристал Пэлас,4,2
27.08.2022 19:00,Челси,Лестер,2,1
27.08.2022 16:30,Саутгемптон,Манчестер Юнайтед,0,1
23.08.2022 00:00,Манчестер Юнайтед,Ливерпуль,2,1
21.08.2022 20:30,Ньюкасл Юнайтед,Манчестер Сити,3,3
21.08.2022 18:00,Вест Хэм,Брайтон,0,2
21.08.2022 18:00,Лидс,Челси,3,0
20.08.2022 21:30,Борнмут,Арсенал,0,3
20.08.2022 19:00,Кристал Пэлас,Астон Вилла,3,1
20.08.2022 19:00,Лестер,Саутгемптон,1,2
20.08.2022 19:00,Фулхэм,Брентфорд,3,2
20.08.2022 19:00,Эвертон,Ноттингем Форест,1,1
20.08.2022 16:30,Тоттенхэм,Вулверхэмптон,1,0
16.08.2022 00:00,Ливерпуль,Кристал Пэлас,1,1
14.08.2022 20:30,Челси,Тоттенхэм,2,2
14.08.2022 18:00,Ноттингем Форест,Вест Хэм,1,0
13.08.2022 21:30,Брентфорд,Манчестер Юнайтед,4,0
13.08.2022 19:00,Арсенал,Лестер,4,2
13.08.2022 19:00,Брайтон,Ньюкасл Юнайтед,0,0
13.08.2022 19:00,Вулверхэмптон,Фулхэм,0,0
13.08.2022 19:00,Манчестер Сити,Борнмут,4,0
13.08.2022 19:00,Саутгемптон,Лидс,2,2
13.08.2022 16:30,Астон Вилла,Эвертон,2,1
07.08.2022 20:30,Вест Хэм,Манчестер Сити,0,2
07.08.2022 18:00,Лестер,Брентфорд,2,2
07.08.2022 18:00,Манчестер Юнайтед,Брайтон,1,2
06.08.2022 21:30,Эвертон,Челси,0,1
06.08.2022 19:00,Борнмут,Астон Вилла,2,0
06.08.2022 19:00,Лидс,Вулверхэмптон,2,1
06.08.2022 19:00,Ньюкасл Юнайтед,Ноттингем Форест,2,0
06.08.2022 19:00,Тоттенхэм,Саутгемптон,4,1
06.08.2022 16:30,Фулхэм,Ливерпуль,2,2
06.08.2022 00:00,Кристал Пэлас,Арсенал,0,2
