Дата,Команда 1,Команда 2,К1 Счет,К2 Счет,К1 Владение мячом,К2 Владение мячом,К1 Удары,К2 Удары,К1 Удары в створ,К2 Удары в створ,К1 Удары мимо,К2 Удары мимо,К1 Блок-но ударов,К2 Блок-но ударов,К1 Штрафные,К2 Штрафные,К1 Угловые,К2 Угловые,К1 Офсайды,К2 Офсайды,К1 Сэйвы,К2 Сэйвы,К1 Фолы,К2 Фолы,К1 Желтые карточки,К2 Желтые карточки,К1 Красные карточки,К2 Красные карточки,К1 Всего передач,К2 Всего передач,К1 Вбрасывания,К2 Вбрасывания
05.03.2016 20:00,Ньюкасл Юнайтед,Борнмут,1,3,49,51,14,16,3,5,5,4,6,7,9.0,15.0,5,4,1,1,2,2,13,8,1.0,3.0,,,,,,
05.03.2016 20:00,Саутгемптон,Сандерленд,1,1,65,35,16,11,5,3,3,4,8,4,8.0,10.0,12,2,1,1,2,4,9,9,2.0,1.0,1.0,0.0,,,,
05.03.2016 20:00,Суонси,Норвич,1,0,56,44,10,8,3,3,5,3,2,2,18.0,17.0,5,0,3,3,3,2,14,15,2.0,5.0,,,,,,
05.03.2016 20:00,Челси,Сток Сити,1,1,48,52,20,16,7,5,8,7,5,4,14.0,11.0,8,4,3,4,4,6,9,10,1.0,2.0,,,,,,
05.03.2016 20:00,Эвертон,Вест Хэм,2,3,42,58,15,17,8,5,2,7,5,5,14.0,13.0,9,6,1,3,2,6,12,13,4.0,3.0,1.0,0.0,,,,
05.03.2016 17:45,Тоттенхэм,Арсенал,2,2,52,48,26,10,11,4,7,2,8,4,11.0,12.0,9,2,2,1,2,9,9,10,2.0,4.0,0.0,1.0,,,,
03.03.2016 01:00,Ливерпуль,Манчестер Сити,3,0,50,50,11,3,7,1,3,2,1,0,15.0,18.0,3,2,4,1,1,4,14,14,0.0,1.0,,,,,,
03.03.2016 01:00,Манчестер Юнайтед,Уотфорд,1,0,61,39,14,13,3,3,6,6,5,4,17.0,9.0,9,7,2,0,3,2,7,17,1.0,2.0,,,,,,
03.03.2016 00:45,Арсенал,Суонси,1,2,63,37,18,11,4,2,8,5,6,4,14.0,11.0,7,3,3,3,0,3,8,11,0.0,2.0,,,,,,
03.03.2016 00:45,Вест Хэм,Тоттенхэм,1,0,35,65,14,9,3,2,6,6,5,1,13.0,17.0,6,3,7,2,2,2,10,11,0.0,3.0,,,,,,
03.03.2016 00:45,Сток Сити,Ньюкасл Юнайтед,1,0,55,45,9,5,2,3,5,1,2,1,7.0,11.0,5,2,1,1,3,1,11,6,1.0,0.0,,,,,,
02.03.2016 00:45,Астон Вилла,Эвертон,1,3,46,54,14,9,5,6,4,1,5,2,8.0,8.0,9,8,0,1,3,4,8,7,3.0,1.0,,,,,,
02.03.2016 00:45,Борнмут,Саутгемптон,2,0,45,55,9,6,4,1,2,3,3,2,22.0,12.0,10,2,1,4,1,2,11,18,,,,,,,,
02.03.2016 00:45,Лестер,Вест Бромвич,2,2,65,35,22,11,5,3,11,6,6,2,12.0,11.0,11,3,1,4,1,3,10,8,0.0,2.0,,,,,,
02.03.2016 00:45,Норвич,Челси,1,2,47,53,13,10,2,2,7,4,4,4,7.0,20.0,4,4,3,2,0,1,17,5,3.0,2.0,,,,,,
02.03.2016 00:45,Сандерленд,Кристал Пэлас,2,2,58,42,17,13,6,5,7,4,4,4,15.0,11.0,4,5,0,3,3,4,11,14,1.0,1.0,,,,,,
28.02.2016 19:05,Манчестер Юнайтед,Арсенал,3,2,39,61,7,13,5,5,1,5,1,3,16.0,23.0,2,3,2,1,3,2,21,15,4.0,3.0,,,,,,
28.02.2016 19:05,Тоттенхэм,Суонси,2,1,57,43,34,10,14,4,14,2,6,4,17.0,14.0,7,7,3,3,3,12,11,14,2.0,3.0,,,,,,
27.02.2016 22:30,Вест Бромвич,Кристал Пэлас,3,2,46,54,11,15,5,2,5,8,1,5,17.0,15.0,3,6,1,1,0,2,14,16,2.0,2.0,,,,,,
27.02.2016 20:00,Лестер,Норвич,1,0,59,41,13,9,3,1,5,5,5,3,15.0,10.0,3,4,1,4,1,2,9,11,0.0,2.0,,,,,,
27.02.2016 20:00,Саутгемптон,Челси,1,2,34,66,7,16,2,4,3,9,2,3,13.0,15.0,7,8,5,2,2,1,10,11,3.0,1.0,,,,,,
27.02.2016 20:00,Сток Сити,Астон Вилла,2,1,55,45,11,5,3,1,6,4,2,0,15.0,9.0,11,0,2,2,0,1,7,15,0.0,3.0,,,,,,
27.02.2016 20:00,Уотфорд,Борнмут,0,0,47,53,14,11,1,3,9,4,4,4,19.0,17.0,4,5,3,3,3,1,14,17,3.0,1.0,,,,,,
27.02.2016 17:45,Вест Хэм,Сандерленд,1,0,53,47,9,13,3,4,6,6,0,3,11.0,11.0,5,6,0,2,4,2,11,9,1.0,0.0,,,,,,
14.02.2016 21:15,Манчестер Сити,Тоттенхэм,1,2,46,54,19,6,4,3,7,2,8,1,18.0,15.0,7,1,4,1,1,3,12,17,1.0,3.0,,,,,,
14.02.2016 19:05,Астон Вилла,Ливерпуль,0,6,39,61,6,11,1,9,4,1,1,1,10.0,10.0,0,6,0,1,3,1,10,9,3.0,1.0,,,,,,
14.02.2016 17:00,Арсенал,Лестер,2,1,72,28,24,7,6,3,12,4,6,0,12.0,13.0,11,1,5,2,2,4,9,10,4.0,5.0,0.0,1.0,,,,
13.02.2016 22:30,Челси,Ньюкасл Юнайтед,5,1,55,45,14,10,7,3,3,2,4,5,16.0,14.0,8,5,2,1,2,2,11,16,0.0,2.0,,,,,,
13.02.2016 20:00,Борнмут,Сток Сити,1,3,65,35,11,11,2,6,4,4,5,1,20.0,9.0,9,2,1,2,3,1,7,18,4.0,2.0,,,,,,
13.02.2016 20:00,Кристал Пэлас,Уотфорд,1,2,54,46,15,10,5,4,7,2,3,4,14.0,21.0,8,3,6,0,2,4,16,14,0.0,1.0,1.0,0.0,,,,
13.02.2016 20:00,Норвич,Вест Хэм,2,2,48,52,13,11,3,6,7,5,3,0,19.0,19.0,3,3,3,8,4,1,16,11,2.0,2.0,,,,,,
13.02.2016 20:00,Суонси,Саутгемптон,0,1,55,45,13,13,2,5,8,3,3,5,14.0,10.0,5,4,0,2,4,2,10,12,0.0,3.0,,,,,,
13.02.2016 20:00,Эвертон,Вест Бромвич,0,1,76,24,33,5,5,1,13,3,15,1,14.0,11.0,14,1,1,2,0,5,9,12,1.0,4.0,,,,,,
13.02.2016 17:45,Сандерленд,Манчестер Юнайтед,2,1,34,66,20,12,4,6,10,1,6,5,21.0,8.0,6,8,2,6,5,2,7,15,2.0,3.0,,,,,,
07.02.2016 21:00,Челси,Манчестер Юнайтед,1,1,49,51,16,17,5,7,6,6,5,4,10.0,7.0,10,11,1,1,6,4,6,9,0.0,3.0,,,,,,
07.02.2016 18:30,Борнмут,Арсенал,0,2,51,49,17,10,4,5,7,2,6,3,14.0,9.0,7,3,3,6,3,4,6,8,0.0,1.0,,,,,,
06.02.2016 22:30,Саутгемптон,Вест Хэм,1,0,34,66,8,18,2,2,3,6,3,10,13.0,17.0,4,5,0,3,2,1,17,10,1.0,2.0,1.0,0.0,,,,
06.02.2016 20:00,Астон Вилла,Норвич,2,0,49,51,10,11,3,3,4,4,3,4,16.0,11.0,2,11,1,5,3,1,10,11,0.0,2.0,,,,,,
06.02.2016 20:00,Ливерпуль,Сандерленд,2,2,72,28,16,7,5,2,7,4,4,1,14.0,7.0,7,2,3,2,0,3,4,12,1.0,1.0,,,,,,
06.02.2016 20:00,Ньюкасл Юнайтед,Вест Бромвич,1,0,69,31,19,7,7,0,5,3,7,4,14.0,13.0,8,4,1,2,0,6,12,12,0.0,3.0,,,,,,
06.02.2016 20:00,Сток Сити,Эвертон,0,3,66,34,11,14,3,6,5,3,3,5,10.0,12.0,6,4,1,1,3,3,11,8,1.0,0.0,,,,,,
06.02.2016 20:00,Суонси,Кристал Пэлас,1,1,58,42,19,12,3,2,9,6,7,4,15.0,12.0,9,5,1,0,1,2,11,14,1.0,2.0,,,,,,
06.02.2016 20:00,Тоттенхэм,Уотфорд,1,0,66,34,26,3,9,0,8,2,9,1,12.0,14.0,15,1,2,3,0,8,12,9,0.0,1.0,,,,,,
06.02.2016 17:45,Манчестер Сити,Лестер,1,3,66,34,22,14,4,7,12,5,6,2,16.0,10.0,11,4,1,1,4,3,9,15,2.0,2.0,,,,,,
04.02.2016 00:45,Уотфорд,Челси,0,0,45,55,12,12,3,4,2,3,7,5,16.0,9.0,7,7,0,2,4,3,10,13,2.0,1.0,,,,,,
